Time,Athlete,Nationality,Location,Date
13:16.6,Ron Clarke,AUS,"Stockholm, Sweden",7/5/66
13:16.4,Lasse Viren,FIN,"Helsinki, Finland",9/14/72
13:13.0,Emiel Puttemans,BEL,"Brussels, Belgium",9/20/72
13:12.9,Dick Quax,NZL,"Stockholm, Sweden",7/5/77
13:08.4,Henry Rono,KEN,"Berkeley, United States",4/8/78
13:06.20,Henry Rono,KEN,"Knarvik, Norway",9/13/81
13:00.41,Dave Moorcroft,GBR,"Oslo, Norway",7/7/82
13:00.40,Said Aouita,MAR,"Oslo, Norway",7/27/85
12:58.39,Said Aouita,MAR,"Rome, Italy",7/22/87
12:56.96,Haile Gebrselassie,ETH,"Hengelo, Netherlands",6/4/94
12:55.30,Moses Kiptanui,KEN,"Rome, Italy",6/8/95
12:44.39,Haile Gebrselassie,ETH,"Zurich, Switzerland",8/16/95
12:41.86,Haile Gebrselassie,ETH,"Zurich, Switzerland",8/13/97
12:39.74,Daniel Komen,KEN,"Brussels, Belgium",8/22/97
12:39.36,Haile Gebrselassie,ETH,"Helsinki, Finland",6/13/98
12:37.35,Kenenisa Berkele,ETH,"Hengelo, Netherlands",5/31/04
# Series: MA5000M,,,,
# Event: Men's 5000 Meters,,,,
