Time,Athlete,Nationality,Location,Date
50.14,Riitta Salin,FIN,"Rome, Italy",9/4/74
49.77,Christina Brehmer,GDR,"Dresden, East Germany",5/9/76
49.75,Irena Szewinska,POL,"Bydgoszcz, Poland",6/22/76
49.29,Irena Szewinska,POL,"Montreal, Canada",7/29/76
49.19,Marita Koch,GDR,"Leipzig, East Germany",7/2/78
49.03,Marita Koch,GDR,"Potsdam, East Germany",8/19/78
48.94,Marita Koch,GDR,"Prague, Czechoslovakia",8/31/78
48.89,Marita Koch,GDR,"Potsdam, East Germany",7/29/79
48.60,Marita Koch,GDR,"Turin, Italy",8/4/79
48.16,Marita Koch,GDR,"Athens, Greece",9/8/82
47.99,Jarmila Kratochvilova,TCH,"Helsinki, Finland",8/10/83
47.60,Marita Koch,GDR,"Canberra, Australia",10/6/85
# Series: FE400M,,,,
# Event: Women's 400 Meters,,,,
