Time,Athlete,Nationality,Location,Date
22.21,Irena Szewinska,POL,"Potsdam, East Germany",6/13/74
22.06,Marita Koch,GDR,"Erfurt, East Germany",5/28/78
22.02,Marita Koch,GDR,"Leipzig, East Germany",6/3/79
21.71,Marita Koch,GDR,"Karl Marx Stadt, East Germany",6/10/79
21.71,Marita Koch,GDR,"Potsdam, East Germany",7/21/84
21.71,Heike Drechsler,GDR,"Jena, East Germany",6/29/86
21.71,Heike Drechsler,GDR,"Stuttgart, West Germany",8/29/86
21.56,Florence Griffith Joyner,USA,"Seoul, South Korea",9/29/88
21.34,Florence Griffith Joyner,USA,"Seoul, South Korea",9/29/88
# Series: FE200M,,,,
# Event: Women's 200 Meters,,,,
