Time,Athlete,Nationality,Location,Date
19.83,Tommie Smith,USA,"Mexico City, Mexico",10/16/68
19.72,Pietro Mennea,ITA,"Mexico City, Mexico",9/12/79
19.66,Michael Johnson,USA,"Atlanta, United States",6/23/96
19.32,Michael Johnson,USA,"Atlanta, United States",8/1/96
19.30,Usain Bolt,JAM,"Beijing, China",8/20/08
19.19,Usain Bolt,JAM,"Berlin, Germany",8/20/09
# Series: MA200M,,,,
# Event: Men's 200 Meters,,,,
