Time,Athlete,Nationality,Location,Date
32:17.20,Yelena Sipatova,URS,"Moscow, Russia",9/19/81
31:35.3,Mary Tabb,USA,"Eugene, United States",7/16/82
31:35.01,Lyudmila Baranova,URS,"Krasnodar, Russia",5/29/83
31:27.58,Raisa Sadreydinova,URS,"Odessa, Ukraine",9/7/83
31:13.78,Olga Bondarenko,URS,"Kiev, Ukraine",6/24/84
30:59.42,Ingrid Kristiansen,NOR,"Oslo, Norway",7/27/85
30:13.74,Ingrid Kristiansen,NOR,"Oslo, Norway",7/5/86
29:31.78,Wang Junxia,CHN,"Beijing, China",9/8/93
29:17.45,Almaz Ayana,ETH,"Rio de Janeiro, Brazil",8/12/16
# Series: FE10000M,,,,
"# Event: Women's 10,000 Meters",,,,
