Time,Athlete,Nationality,Location,Date
43.86,Lee Evans,USA,"Mexico City, Mexico",10/18/68
43.29,Butch Reynolds,USA,"Zurich, Switzerland",8/17/88
43.18,Michael Johnson,USA,"Seville, Spain",8/26/99
43.03,Wayde van Niekerk,ZAF,"Rio de Janeiro, Brazil",8/14/16
# Series: MA400M,,,,
# Event: Men's 400 Meters,,,,
